id,g,exp,enr,ed,m,y_exp,t_job,cdi
32403,Male,True,Full time course,Graduate,STEM,9,1,0.8270000000000001
9858,Female,True,no_enrollment,Graduate,STEM,5,1,0.92
31806,Male,False,no_enrollment,High School,,<1,never,0.624
27385,Male,True,no_enrollment,Masters,STEM,11,1,0.8270000000000001
27724,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
217,Male,False,Part time course,Masters,STEM,10,2,0.899
21465,,True,no_enrollment,Graduate,STEM,<1,1,0.624
27302,Female,True,no_enrollment,Graduate,STEM,>20,>4,0.92
12994,Male,True,no_enrollment,Graduate,STEM,14,4,0.878
16287,Male,True,Full time course,Graduate,,3,1,0.624
10856,Male,True,no_enrollment,Masters,Other,>20,>4,0.92
9272,Male,True,no_enrollment,Graduate,STEM,20,2,0.698
14249,Male,True,no_enrollment,Graduate,STEM,8,never,0.762
24372,,True,no_enrollment,Masters,STEM,4,1,0.949
14070,,False,no_enrollment,Graduate,STEM,5,never,0.92
24914,,True,Full time course,Graduate,STEM,13,1,0.624
7865,Male,True,no_enrollment,Masters,STEM,4,1,0.624
7463,Male,True,no_enrollment,Masters,Business Degree,2,1,0.8270000000000001
21514,,True,no_enrollment,Graduate,STEM,6,4,0.624
29033,Male,False,Full time course,,,2,never,0.624
15359,,False,Full time course,Graduate,STEM,2,never,0.92
16001,,True,no_enrollment,Graduate,STEM,7,1,0.92
25202,Male,True,no_enrollment,Graduate,STEM,6,3,0.624
5058,Male,False,Full time course,Graduate,STEM,1,1,0.92
23570,Male,True,no_enrollment,Graduate,STEM,19,>4,0.722
19139,Female,True,Part time course,Graduate,STEM,15,>4,0.92
9548,Male,True,no_enrollment,Masters,STEM,>20,>4,0.926
8799,Male,False,Full time course,Graduate,STEM,6,1,0.92
11113,,True,no_enrollment,Masters,STEM,16,1,0.698
19437,,True,no_enrollment,Graduate,STEM,3,,0.624
394,,True,Full time course,Graduate,STEM,5,1,0.754
7683,Male,True,no_enrollment,Graduate,STEM,5,1,0.92
22849,,True,no_enrollment,,,,never,0.743
17189,Male,True,no_enrollment,Graduate,STEM,7,4,0.624
28610,Male,True,no_enrollment,Masters,STEM,>20,>4,0.91
25608,,True,no_enrollment,Masters,STEM,17,>4,0.903
22139,Male,True,Part time course,Graduate,STEM,>20,>4,0.92
19644,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.913
18517,,False,Full time course,Masters,STEM,<1,1,0.624
12835,Male,True,no_enrollment,Masters,STEM,>20,1,0.897
20178,Male,True,no_enrollment,Masters,STEM,13,1,0.89
25855,Female,True,no_enrollment,Graduate,Arts,4,1,0.92
32126,Male,True,no_enrollment,Graduate,STEM,16,4,0.92
22753,Male,True,no_enrollment,Graduate,STEM,>20,2,0.924
18133,Male,False,no_enrollment,Graduate,STEM,1,1,0.92
29242,Male,True,no_enrollment,Masters,STEM,5,1,0.624
6312,Male,True,no_enrollment,Graduate,STEM,>20,1,0.92
113,Male,True,no_enrollment,Masters,STEM,6,1,0.91
14685,Male,False,Full time course,Masters,STEM,3,1,0.926
20768,Male,False,Full time course,High School,,2,never,0.698
25906,Male,True,no_enrollment,Graduate,STEM,19,1,0.939
20142,Male,True,no_enrollment,Graduate,STEM,10,1,0.924
25891,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
4742,,False,no_enrollment,,,2,,0.6890000000000001
2222,Male,True,no_enrollment,Graduate,Business Degree,14,1,0.794
16917,,False,Full time course,High School,,1,1,0.92
10493,,True,no_enrollment,Masters,STEM,8,2,0.624
10418,Male,True,no_enrollment,,,7,>4,0.698
9766,Male,True,no_enrollment,Graduate,STEM,5,2,0.923
1361,Other,True,Full time course,Graduate,STEM,5,1,0.92
19625,Male,True,no_enrollment,High School,,7,1,0.925
20943,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
9561,,True,no_enrollment,Masters,STEM,19,2,0.939
4271,,True,,Graduate,STEM,5,2,0.8270000000000001
2094,Female,True,no_enrollment,Graduate,STEM,18,>4,0.6659999999999999
16931,Male,True,no_enrollment,Graduate,STEM,15,>4,0.807
27298,Male,False,no_enrollment,Graduate,Arts,5,never,0.624
26493,Male,False,Part time course,Graduate,STEM,8,1,0.897
30745,Male,True,no_enrollment,Graduate,STEM,8,3,0.682
21052,Male,True,no_enrollment,Graduate,STEM,2,never,0.698
20723,Male,True,Full time course,Graduate,STEM,<1,1,0.55
13539,Male,True,no_enrollment,Graduate,STEM,13,2,0.74
3214,Male,True,no_enrollment,Masters,STEM,>20,4,0.91
16230,,False,Full time course,High School,,1,never,0.92
25300,Male,True,no_enrollment,Graduate,STEM,7,1,0.92
24018,Male,True,Part time course,Graduate,STEM,3,1,0.55
21833,Male,True,no_enrollment,Graduate,STEM,20,>4,0.91
30632,Male,True,no_enrollment,Masters,STEM,12,2,0.926
4334,Male,True,,High School,,9,2,0.92
22271,Male,False,Full time course,Graduate,Other,15,3,0.887
28776,Male,True,no_enrollment,Masters,STEM,>20,>4,0.926
27769,Male,False,Full time course,Masters,STEM,2,1,0.624
25909,,True,no_enrollment,Masters,STEM,15,>4,0.855
31266,Male,True,no_enrollment,Graduate,STEM,9,>4,0.926
7973,Male,True,no_enrollment,Masters,STEM,14,1,0.926
30867,,True,no_enrollment,Graduate,STEM,3,1,0.624
22501,Male,True,no_enrollment,,,19,>4,0.939
2539,Male,True,Full time course,Masters,STEM,10,4,0.8270000000000001
26681,Male,True,no_enrollment,Graduate,Business Degree,>20,3,0.92
16184,,False,Full time course,High School,,1,never,0.745
3852,Male,True,no_enrollment,Masters,STEM,>20,>4,0.92
1680,Male,True,no_enrollment,Masters,STEM,19,4,0.682
3562,Male,True,no_enrollment,Masters,STEM,>20,2,0.926
8488,Male,True,Part time course,Masters,STEM,3,2,0.5579999999999999
8373,Male,True,no_enrollment,Graduate,STEM,17,3,0.92
2934,Male,True,no_enrollment,Phd,STEM,>20,3,0.939
12919,Female,True,no_enrollment,Graduate,Humanities,4,1,0.92
4386,Male,False,Full time course,High School,,3,2,0.624
22462,,True,no_enrollment,Graduate,STEM,9,1,0.624
13988,,True,Part time course,Masters,STEM,16,>4,0.92
21230,,False,no_enrollment,High School,,3,>4,0.92
26180,Male,False,Full time course,Graduate,STEM,1,never,0.487
16658,Male,True,no_enrollment,Graduate,Business Degree,16,1,0.91
10324,Male,True,Part time course,Graduate,STEM,>20,2,0.91
20453,Male,True,no_enrollment,Graduate,STEM,3,never,0.848
13485,Male,True,no_enrollment,Masters,STEM,11,2,0.897
33080,Male,True,no_enrollment,Graduate,STEM,>20,never,0.91
25492,,True,no_enrollment,Graduate,STEM,>20,1,0.92
1319,Male,False,Part time course,Graduate,STEM,<1,>4,0.884
19146,Male,True,no_enrollment,Graduate,STEM,18,1,0.92
29339,Male,True,no_enrollment,Masters,STEM,15,never,0.855
33177,Male,True,no_enrollment,Graduate,STEM,11,1,0.91
22143,,True,no_enrollment,Graduate,STEM,>20,1,0.92
22264,,True,no_enrollment,Graduate,STEM,6,1,0.92
17034,,True,Full time course,Graduate,STEM,5,never,0.92
27002,Male,True,Full time course,Graduate,STEM,7,>4,0.624
21318,Male,True,no_enrollment,Graduate,STEM,9,1,0.92
12308,,False,no_enrollment,Graduate,STEM,10,>4,0.74
842,Male,False,Full time course,Graduate,STEM,7,1,0.624
4926,Male,False,no_enrollment,High School,,1,never,0.92
3,,False,Full time course,High School,,6,never,0.915
19567,Male,True,no_enrollment,Graduate,STEM,12,1,0.624
12809,Male,True,no_enrollment,High School,,3,1,0.913
22682,Male,False,no_enrollment,Masters,STEM,2,1,0.884
1216,Male,True,no_enrollment,Masters,STEM,>20,2,0.878
4417,,False,no_enrollment,,,,,0.92
24162,,True,no_enrollment,Graduate,STEM,<1,1,0.624
16873,,True,no_enrollment,Graduate,STEM,>20,>4,0.92
21920,Female,False,no_enrollment,Phd,STEM,19,1,0.91
24230,,True,Full time course,Masters,No Major,<1,,0.624
5189,,False,no_enrollment,High School,,<1,1,0.91
24396,Male,True,no_enrollment,Graduate,STEM,18,2,0.698
770,Male,True,no_enrollment,Masters,STEM,>20,1,0.754
30913,Male,False,no_enrollment,Graduate,STEM,>20,>4,0.92
14566,Female,True,Part time course,Graduate,STEM,7,1,0.856
15634,Male,True,no_enrollment,Graduate,No Major,11,>4,0.913
18163,,True,no_enrollment,High School,,2,never,0.6659999999999999
16673,,True,no_enrollment,Graduate,STEM,<1,1,0.624
18805,Male,False,no_enrollment,Phd,Humanities,>20,>4,0.91
15367,Male,False,Full time course,Graduate,STEM,<1,1,0.92
22556,Male,True,Full time course,Graduate,STEM,5,1,0.624
27439,Male,True,Part time course,Graduate,STEM,15,1,0.887
18426,Male,True,no_enrollment,Graduate,STEM,10,1,0.624
9789,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
28172,,True,no_enrollment,Masters,STEM,>20,>4,0.926
9184,Male,True,Part time course,Masters,STEM,3,1,0.897
3587,Male,True,no_enrollment,Masters,Humanities,7,4,0.91
1167,Male,True,no_enrollment,Graduate,STEM,15,4,0.92
1663,,True,Part time course,Masters,STEM,>20,>4,0.698
20948,,True,no_enrollment,Masters,STEM,5,,0.725
31594,Male,True,no_enrollment,Masters,STEM,>20,>4,0.8270000000000001
27117,Male,False,Full time course,Graduate,STEM,<1,never,0.698
678,Male,True,no_enrollment,Graduate,STEM,>20,1,0.92
1441,Male,False,Full time course,Masters,STEM,16,never,0.92
31272,Male,True,no_enrollment,Graduate,STEM,13,4,0.624
12443,Male,True,no_enrollment,High School,,6,1,0.6890000000000001
32981,Male,True,no_enrollment,Phd,STEM,>20,1,0.903
1317,,True,no_enrollment,Masters,STEM,12,1,0.92
4601,Male,False,no_enrollment,Phd,STEM,>20,2,0.939
30498,,False,no_enrollment,Graduate,STEM,3,never,0.923
7863,,False,no_enrollment,Graduate,STEM,13,3,0.903
8744,Male,False,Full time course,High School,,1,never,0.698
14698,Male,True,no_enrollment,Graduate,STEM,6,1,0.92
10021,Female,True,no_enrollment,Graduate,STEM,5,1,0.91
15253,Male,True,no_enrollment,Phd,STEM,>20,3,0.91
18108,Male,True,no_enrollment,High School,,5,>4,0.926
31410,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
30532,Male,True,no_enrollment,Graduate,STEM,16,1,0.92
31733,Male,True,no_enrollment,Masters,STEM,>20,>4,0.92
28833,Male,True,Full time course,Graduate,STEM,2,1,0.624
8708,Male,True,Part time course,Masters,STEM,3,1,0.579
10050,Male,True,no_enrollment,Masters,STEM,10,>4,0.92
21685,,False,no_enrollment,Phd,STEM,15,1,0.926
18529,Male,True,Full time course,Graduate,STEM,6,4,0.74
1850,,False,no_enrollment,Graduate,STEM,1,1,0.92
22639,Male,True,no_enrollment,Graduate,STEM,4,1,0.764
5967,Male,True,no_enrollment,Masters,STEM,9,>4,0.624
20977,Male,True,no_enrollment,High School,,>20,1,0.91
5391,Male,False,Full time course,Graduate,STEM,2,,0.556
4398,Male,True,no_enrollment,Graduate,STEM,7,3,0.556
18383,Male,False,no_enrollment,Masters,STEM,4,1,0.624
17336,Male,False,Full time course,High School,,2,never,0.624
7470,Male,True,Full time course,Graduate,STEM,7,1,0.921
24781,Male,True,no_enrollment,Masters,STEM,>20,2,0.92
24202,Male,True,no_enrollment,Graduate,STEM,7,1,0.698
20650,,True,Part time course,Graduate,STEM,6,3,0.754
5377,Male,False,no_enrollment,High School,,5,never,0.926
31693,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
28619,Male,False,no_enrollment,Graduate,No Major,3,never,0.92
15432,,False,no_enrollment,High School,,11,>4,0.926
22999,Female,True,no_enrollment,Graduate,STEM,<1,1,0.624
8377,Male,True,no_enrollment,Graduate,STEM,13,2,0.91
9302,,True,no_enrollment,Graduate,STEM,9,2,0.6890000000000001
16158,Male,True,no_enrollment,Graduate,STEM,7,3,0.92
29575,Male,True,no_enrollment,Graduate,STEM,7,3,0.55
16573,Male,True,,Graduate,No Major,8,2,0.939
30736,Male,False,Full time course,High School,,2,1,0.92
20612,,True,no_enrollment,Graduate,STEM,1,never,0.624
11976,Male,True,no_enrollment,Masters,STEM,14,1,0.897
28302,Male,True,no_enrollment,Graduate,STEM,5,1,0.91
9462,,False,Part time course,,,1,never,0.624
14512,Male,True,Full time course,Graduate,STEM,4,1,0.55
8401,Male,True,no_enrollment,Masters,STEM,6,2,0.897
19780,Female,True,no_enrollment,Masters,,,1,0.794
2594,,False,Full time course,High School,,2,never,0.624
1466,Male,True,no_enrollment,Masters,STEM,>20,>4,0.92
17205,Female,True,no_enrollment,Masters,STEM,>20,never,0.926
12990,Male,True,no_enrollment,Graduate,STEM,16,>4,0.92
4234,Male,True,no_enrollment,Graduate,STEM,19,1,0.92
18171,Male,True,no_enrollment,Graduate,STEM,12,2,0.92
15457,Male,True,no_enrollment,Graduate,STEM,17,>4,0.926
23319,Male,True,Full time course,Graduate,STEM,4,never,0.624
10598,Male,True,no_enrollment,Phd,STEM,14,1,0.897
7788,Male,True,no_enrollment,High School,,10,never,0.624
32021,Male,True,no_enrollment,Masters,Humanities,>20,2,0.92
23969,Male,True,no_enrollment,,,>20,,0.698
13037,,True,no_enrollment,High School,,8,1,0.925
30196,Male,True,no_enrollment,Graduate,Humanities,2,1,0.926
19504,,True,no_enrollment,Graduate,STEM,4,1,0.624
16336,Male,True,no_enrollment,Graduate,STEM,7,>4,0.624
6048,,True,no_enrollment,Graduate,STEM,15,2,0.92
6827,Male,True,no_enrollment,Graduate,STEM,2,never,0.624
9268,Male,True,no_enrollment,,,>20,2,0.92
11169,Female,True,no_enrollment,Graduate,STEM,6,1,0.624
31131,Female,False,Part time course,Graduate,Other,3,1,0.92
12361,,False,Full time course,Graduate,STEM,<1,,0.624
15165,,False,Part time course,Graduate,STEM,>20,,0.92
27773,Male,True,no_enrollment,Masters,STEM,>20,>4,0.926
15266,Male,True,no_enrollment,Graduate,STEM,7,1,0.92
26289,Female,True,no_enrollment,Graduate,Humanities,3,2,0.925
32553,,False,no_enrollment,Masters,STEM,12,never,0.866
33062,Male,True,no_enrollment,Graduate,STEM,9,1,0.949
8818,,True,no_enrollment,Primary School,,7,1,0.92
15380,Male,True,no_enrollment,Graduate,STEM,5,4,0.624
30120,Male,True,no_enrollment,Graduate,STEM,4,never,0.55
24317,Male,True,no_enrollment,Graduate,STEM,9,2,0.624
412,Male,False,no_enrollment,Graduate,STEM,17,2,0.92
30607,Male,True,Full time course,Graduate,STEM,4,2,0.6890000000000001
8513,Male,True,Full time course,Masters,STEM,7,1,0.91
8596,,True,Full time course,High School,,4,2,0.8270000000000001
14539,Male,True,no_enrollment,Graduate,STEM,7,1,0.856
20456,,True,Full time course,Graduate,STEM,6,never,0.624
15221,Male,True,no_enrollment,,,2,never,0.926
28968,Male,True,Part time course,High School,,2,2,0.698
21648,Male,True,no_enrollment,Masters,STEM,20,never,0.913
3210,Male,True,no_enrollment,Graduate,STEM,17,3,0.92
22118,,True,no_enrollment,Graduate,STEM,6,2,0.92
5605,Other,True,no_enrollment,Graduate,STEM,9,3,0.698
30930,Male,True,no_enrollment,Graduate,STEM,>20,never,0.855
28718,Male,True,no_enrollment,Graduate,STEM,>20,1,0.924
8141,,False,no_enrollment,Graduate,STEM,>20,>4,0.92
3486,Male,True,no_enrollment,Phd,STEM,14,>4,0.903
8805,Male,True,no_enrollment,Masters,STEM,>20,2,0.92
6602,,True,Full time course,Graduate,STEM,6,1,0.767
14916,Male,True,no_enrollment,Graduate,STEM,15,1,0.6659999999999999
21636,,False,no_enrollment,Graduate,STEM,>20,>4,0.893
9047,Other,True,no_enrollment,Graduate,STEM,>20,>4,0.92
6694,Female,True,no_enrollment,Graduate,STEM,19,>4,0.91
17793,,True,no_enrollment,Graduate,STEM,6,>4,0.579
32857,Male,True,no_enrollment,High School,,7,1,0.91
26325,Male,False,,,,3,never,0.624
20907,Male,True,no_enrollment,Masters,STEM,5,2,0.92
12617,,True,no_enrollment,High School,,11,2,0.698
24295,Male,True,no_enrollment,Masters,STEM,10,2,0.794
32409,Male,True,no_enrollment,Graduate,STEM,8,1,0.624
16713,Male,True,no_enrollment,Graduate,Arts,13,>4,0.92
4863,Male,False,Full time course,High School,,2,never,0.518
13274,Male,True,no_enrollment,High School,,3,never,0.5579999999999999
12462,Male,True,,Graduate,STEM,<1,1,0.624
8524,,True,no_enrollment,Graduate,STEM,20,1,0.923
21728,Male,True,no_enrollment,Masters,STEM,10,1,0.866
20577,Female,False,Full time course,High School,,2,never,0.624
3407,,True,no_enrollment,Graduate,STEM,6,1,0.527
27184,Male,True,no_enrollment,Masters,STEM,>20,3,0.939
28845,Male,True,no_enrollment,Graduate,STEM,14,1,0.898
2851,Male,True,no_enrollment,Graduate,STEM,6,4,0.804
485,Male,True,no_enrollment,Graduate,STEM,12,1,0.91
7207,Male,True,no_enrollment,Masters,STEM,13,1,0.926
9005,Male,False,no_enrollment,Masters,STEM,6,>4,0.624
4532,Male,True,no_enrollment,High School,,3,1,0.855
23235,Male,True,no_enrollment,Phd,STEM,>20,>4,0.92
5403,Male,False,no_enrollment,High School,,6,never,0.855
8232,Male,True,no_enrollment,Graduate,Arts,17,3,0.92
40,Male,True,no_enrollment,Graduate,STEM,11,never,0.624
8991,Male,False,Full time course,Graduate,STEM,3,1,0.92
28620,Male,True,no_enrollment,Graduate,STEM,5,never,0.92
16355,Female,True,no_enrollment,Masters,STEM,5,1,0.624
18340,Female,True,Full time course,Graduate,STEM,5,1,0.624
5138,Male,False,Full time course,Graduate,STEM,2,never,0.682
12391,,False,Full time course,High School,,3,,0.915
15550,Male,True,Full time course,High School,,3,1,0.91
27155,,False,,Primary School,,>20,never,0.91
19883,Female,True,no_enrollment,Graduate,STEM,3,2,0.899
25140,,True,Part time course,Graduate,STEM,6,2,0.802
27463,,False,no_enrollment,Masters,STEM,>20,2,0.895
23894,,False,Full time course,Graduate,STEM,2,never,0.754
18285,,True,no_enrollment,Masters,STEM,12,3,0.92
25415,Male,True,Part time course,Graduate,STEM,>20,1,0.804
9894,Male,True,no_enrollment,Graduate,Humanities,3,1,0.804
15242,Male,True,no_enrollment,Graduate,STEM,>20,>4,0.92
