cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes
44,6,17,39,21,31,14,29,38
47,6,13,38,16,33,12,27,32
48,3,16,50,12,37,24,31,37
44,14,14,37,19,49,14,29,31
52,7,16,41,23,36,14,30,37
47,6,16,45,14,31,15,27,34
48,6,15,38,25,34,14,27,37
43,11,17,37,28,43,10,45,26
51,10,17,50,23,34,16,35,43
42,4,14,50,15,25,15,25,36
42,6,16,44,18,26,14,25,36
47,5,15,33,15,46,11,31,37
51,9,18,44,18,44,16,29,40
43,8,17,50,12,34,19,48,31
49,5,20,49,18,25,16,26,37
45,6,18,43,17,25,15,28,39
53,14,17,50,25,43,8,53,44
43,7,16,39,21,29,16,25,35
47,10,15,45,24,29,13,32,37
55,14,20,42,16,23,15,15,42
48,12,26,39,18,24,14,33,37
43,3,16,45,20,36,17,20,32
41,7,17,46,25,33,14,64,39
49,6,14,53,21,44,10,43,38
42,6,15,35,19,36,13,23,36
44,5,12,43,27,24,16,18,46
42,19,19,63,31,100,19,49,29
49,10,17,47,16,31,15,38,45
37,7,11,29,17,28,7,20,34
49,5,13,42,25,15,11,43,39
45,13,18,45,13,37,16,36,37
37,9,15,37,15,40,14,24,31
47,7,14,49,18,34,19,26,31
52,6,16,51,21,43,14,34,35
39,4,16,32,18,24,11,21,30
46,6,14,43,17,36,14,23,34
45,6,12,79,25,27,9,56,29
49,13,21,74,14,62,11,48,44
43,6,13,49,14,29,14,27,33
43,5,18,32,22,24,14,19,33
46,11,11,79,17,35,23,68,32
61,15,21,57,15,30,14,82,47
43,3,12,45,19,21,13,34,35
44,8,18,50,26,40,14,34,33
37,7,17,40,13,28,11,27,34
46,10,18,33,28,35,22,65,54
45,5,12,45,19,29,11,37,35
40,7,13,35,23,38,11,47,37
44,5,18,35,19,41,15,23,29
28,0,28,41,19,74,48,27,16
50,12,21,44,15,32,19,32,42
49,8,22,58,17,52,11,43,46
45,0,22,53,70,0,0,100,44
35,5,22,46,21,28,12,24,30
50,11,35,35,33,25,32,18,32
49,7,18,47,16,40,17,38,35
43,9,17,45,20,34,11,34,38
46,5,16,35,15,21,13,41,38
45,11,13,49,13,26,22,29,31
56,0,24,46,19,36,0,67,23
47,8,17,38,17,49,15,36,39
42,5,14,32,19,24,12,29,40
43,7,19,49,14,26,11,46,39
42,5,12,50,24,27,17,33,39
41,0,28,27,15,29,25,85,40
46,9,15,55,20,39,13,26,35
42,6,16,40,17,23,14,26,37
41,3,17,62,19,24,16,44,51
55,5,24,52,31,24,10,43,41
48,6,11,27,18,20,10,25,21
42,7,16,51,16,26,9,35,28
47,8,17,40,9,41,11,60,36
43,3,16,41,11,26,23,36,39
38,12,14,40,13,27,47,27,52
48,7,18,60,23,49,12,41,31
36,6,25,74,13,38,39,95,39
54,7,13,32,9,17,7,78,45
69,0,100,97,0,0,0,0,100
43,12,19,45,15,47,12,27,35
43,2,14,41,12,14,14,28,36
45,11,22,36,25,53,15,35,51
31,0,14,39,43,0,54,0,23
100,0,26,78,42,83,70,0,27
47,0,14,40,18,21,24,46,36
37,7,17,37,18,32,11,32,43
44,6,15,41,20,31,14,26,35
45,8,16,53,44,37,16,42,34
56,9,12,65,23,36,14,50,49
40,5,15,39,13,37,19,33,34
46,11,30,20,26,51,29,75,41
47,8,15,43,23,25,15,26,39
52,10,20,53,13,55,10,31,42
71,18,26,64,16,33,25,40,58
42,9,22,45,28,18,17,33,40
43,7,15,43,16,33,13,31,36
45,6,16,41,15,36,15,27,36
42,7,17,48,15,40,12,27,39
47,8,16,33,18,29,12,24,37
44,6,16,47,15,24,17,43,34
43,8,14,39,20,30,15,27,35
38,7,16,35,19,27,12,22,35
43,5,13,48,21,34,16,17,28
40,11,14,37,17,19,13,40,39
64,0,35,100,0,0,0,0,35
40,15,17,32,27,26,15,57,29
58,19,17,35,23,44,19,57,64
48,11,22,37,25,39,15,27,42
58,0,14,59,17,33,14,30,39
52,4,17,55,16,18,18,36,34
36,0,14,34,28,22,0,24,30
41,6,16,51,14,20,12,20,42
37,5,13,38,18,31,17,22,33
33,6,19,45,29,43,15,38,54
55,11,15,63,13,27,17,51,42
46,11,17,70,0,26,23,58,28
38,8,16,36,20,14,12,18,27
48,8,15,34,19,21,17,28,41
39,5,15,38,16,37,11,24,40
36,13,14,41,26,17,12,18,32
41,19,21,21,0,0,0,32,52
36,0,49,64,26,51,44,38,55
34,0,33,97,52,100,0,0,65
44,7,13,55,13,44,16,35,42
53,6,22,55,26,20,11,35,37
41,5,12,39,17,33,16,31,38
37,5,19,47,20,15,18,35,37
46,9,15,41,17,36,20,35,45
36,5,17,40,21,22,29,16,23
