,age,height,gender,birthdate
CFLOXRHMDR,88.0,163.0,female,1942-02-27
FXLJSNLSOG,29.0,158.0,female,1946-03-31
FWDIVJKGOI,42.0,159.0,female,1946-09-13
YWEBKQWHRE,25.0,179.0,male,1947-08-25
YPUQAPSOYJ,32.0,169.0,male,1954-01-24
YPUQAPSOYJ,32.0,169.0,male,1954-01-24
YPUQAPSOYJ,32.0,169.0,male,1954-01-24
YPUQAPSOYJ,32.0,169.0,male,1954-01-24
SSZQEGTLNK,,162.0,male,1959-01-22
PRFEFXNGWN,36.0,166.0,female,1962-04-16
IIVXDNOAIV,1.0,165.0,female,1967-02-20
VVQYVNRAGQ,18.0,134.0,female,1967-09-09
YVEDWPTEEB,31.0,149.0,female,1969-02-02
LGPQPJXWPI,34.0,172.0,female,1974-02-01
VURXKXJUTM,22.0,174.0,female,1974-08-10
CWCFROPRFE,22.0,,male,1978-03-23
HAFHEBLLVW,26.0,161.0,male,1981-07-28
TIHIBNNHAB,45.0,181.0,female,1981-12-09
OMOVKQLHYO,27.0,170.0,male,1983-02-10
PFCTYIBBNQ,1.0,173.0,female,1983-04-24
ZUMSOSOZUX,21.0,252.0,female,1986-12-03
QMAARXTCCQ,26.0,65.0,female,1987-06-16
XTGTMAUIMJ,49.0,235.0,F,1989-03-24
TJQPFEFVVH,,182.0,,1990-07-24
VSZQBPKWSI,19.0,156.0,male,1994-09-13
XZBNWHKHGV,32.0,161.0,f,1944-12-07
LDXRQSRYNG,47.0,178.0,male,1948-12-10
DWTNIGLUWA,25.0,167.0,female,1949-01-17
KFGQCUZGBD,25.0,157.0,female,1949-08-20
JXLMBXRESQ,20.0,150.0,female,1950-09-20
QYWGEMSUMJ,38.0,181.0,male,1954-07-26
WTHLQFCQWG,21.0,156.0,female,1955-02-05
PYHWLDVICX,,181.0,female,1955-12-19
OGDNJGCHJE,49.0,174.0,male,1962-06-27
ZQMNMCPNOJ,18.0,203.0,male,1963-08-12
CDZBXKQCDW,44.0,142.0,male,1967-10-12
QHTFCKPENU,22.0,156.0,female,1972-09-05
YIISJJAMDX,18.0,158.0,male,1976-10-03
UOWZLPUJTT,25.0,168.0,female,1978-09-23
XWUOCGHQNT,29.0,168.0,female,1982-07-18
ZPQXVGTFWX,19.0,169.0,female,1985-12-24
PDGWBAFYJU,43.0,191.0,m,1988-04-06
HQCJSKYFBF,31.0,161.0,female,1991-01-14
WVTLKKOGLC,18.0,168.0,female,1991-04-30
IJQQYYVLME,23.0,174.0,male,1993-05-22
RTPVUPUYJC,73.0,180.0,MALE,1994-11-02
XUAJJPLVOI,18.0,168.0,female,1996-04-30
MLRPKGKACD,,185.0,male,1997-09-13
BCYMKAOXTL,24.0,160.0,female,1997-12-18
BXVKKVLAHT,23.0,152.0,male,1998-12-29
TSHRBGFOJU,300000000.0,184.0,female,1947-07-05
THKFDMMSRX,63.0,170.0,male,1954-06-10
HJTBHGETUN,23.0,177.0,male,1955-03-24
XFBDFUMSQA,41.0,184.0,male,1959-05-26
NMIUIYRXOI,50.0,182.0,female,1959-12-23
YHLAPUOBBQ,1.0,152.0,female,1962-02-28
FWRXVQLKCU,63.0,184.0,male,1964-03-05
YXTASLZIQE,1.0,145.0,female,1966-12-07
CXEEFKAXWC,59.0,182.0,female,1966-12-18
GBKPCIJNRG,36.0,157.0,male,1968-09-02
VEAIZRLSJD,27.0,168.0,male,1972-01-17
HPZSKRSWDU,20.0,184.0,female,1975-01-07
XDWRXLKCGQ,29.0,170.0,male,1975-08-04
XJQABONZTI,26.0,168.0,female,1975-12-19
SLCKXVRTWM,1.0,174.0,female,1976-10-25
NMADSONNTV,47.0,176.0,female,1979-05-01
QDCCSLADSJ,22.0,159.0,female,1982-01-15
SKDXTTNCUF,24.0,143.0,m,1983-02-08
WDXIDTLXAC,26.0,170.0,female,1983-06-30
BFWLNIORKF,31.0,182.0,   female,1983-10-10
JABWDVGYZL,26.0,182.0,female,1986-08-02
TBJEVFUXBC,21.0,147.0,male,1991-09-22
FSFITDNXHI,21.0,175.0,male,1994-03-12
AQVXEFFOEI,31.0,180.0,male,1997-04-09
IDKORTXIYG,30.0,172.0,female,1999-04-25
EGBWHVKTHT,30.0,146.0,female,1940-06-28
CNHABFBVXN,1.0,158.0,female,1941-04-16
SCYTFMBTUI,27.0,163.0,male,1946-03-04
CNSELTAWWK,18.0,180.0,male,1947-05-01
SGMGUJEBNC,,173.0,MALE,1956-06-08
EORSIPDIHA,21.0,,MALE,1958-09-26
EJFQSAETDL,46.0,175.0,MALE,1965-11-24
YZDOYNOXAF,,144.0,female,1968-07-03
QXUGUHCOPT,101.0,196.0,,1970-02-09
