ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Cannabis
2,25-34,M,Doctorate degree,UK,White,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,False
3,35-44,M,Professional certificate/ diploma,UK,White,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,False
4,18-24,F,Masters degree,UK,White,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,True
5,35-44,F,Doctorate degree,UK,White,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,False
6,65+,F,Left school at 18 years,Canada,White,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,True
7,45-54,M,Masters degree,USA,White,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,True
8,35-44,M,Left school at 16 years,UK,White,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,True
9,35-44,F,Professional certificate/ diploma,Canada,White,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,True
10,55-64,M,Masters degree,UK,White,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,True
11,25-34,F,University degree,UK,White,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,True
12,45-54,M,"Some college or university, no certificate or degree",Other,White,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,False
13,55-64,F,University degree,UK,White,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,False
14,55-64,F,Professional certificate/ diploma,Canada,White,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,True
15,55-64,F,Professional certificate/ diploma,UK,White,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,True
16,55-64,M,University degree,UK,White,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,True
17,35-44,F,"Some college or university, no certificate or degree",UK,White,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,False
18,45-54,M,Left school at 16 years,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,False
19,55-64,M,University degree,Australia,White,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,False
20,35-44,M,Professional certificate/ diploma,UK,White,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,True
21,45-54,M,Professional certificate/ diploma,UK,White,-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,True
22,65+,M,Left school before 16 years,UK,White,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,True
23,45-54,M,University degree,UK,White,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,True
24,45-54,M,Left school at 16 years,UK,White,1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,True
25,55-64,M,University degree,UK,White,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,True
26,45-54,M,"Some college or university, no certificate or degree",UK,White,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,True
27,55-64,F,Left school at 18 years,Canada,White,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,True
28,35-44,M,University degree,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,False
29,35-44,F,Masters degree,UK,White,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,True
30,45-54,M,Doctorate degree,UK,White,-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,True
31,45-54,M,Left school at 16 years,UK,White,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,True
32,35-44,F,Left school at 16 years,Other,White,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.84637,True
33,35-44,M,University degree,UK,White,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.84637,False
34,18-24,M,University degree,UK,White,0.41667,-0.30033,0.29338,1.2861,-0.14277,-0.71126,-1.54858,True
35,35-44,M,University degree,USA,Other,1.02119,0.63779,0.88309,-2.90161,-0.78155,0.52975,1.92173,True
36,65+,M,Left school before 16 years,UK,White,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,True
37,35-44,M,University degree,UK,White,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,True
38,55-64,M,Left school before 16 years,USA,White,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,False
39,45-54,M,University degree,UK,White,-1.55078,1.2861,0.29338,-0.01729,0.7583,-0.21712,-0.84637,True
40,65+,F,Professional certificate/ diploma,UK,White,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,-1.37983,-0.21575,True
41,35-44,M,Masters degree,UK,White,0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987,True
42,35-44,F,University degree,UK,White,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,True
43,35-44,M,Masters degree,UK,White,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,-0.21712,-0.52593,True
44,35-44,M,Professional certificate/ diploma,UK,White,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,-0.21712,-0.21575,False
45,25-34,M,University degree,UK,Other,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987,True
46,25-34,F,University degree,UK,White,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,True
47,45-54,F,"Some college or university, no certificate or degree",Canada,White,0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637,True
48,45-54,M,Masters degree,UK,White,-2.05048,0.80523,0.29338,0.94156,1.13407,-2.55524,-1.18084,True
49,45-54,M,Left school at 16 years,UK,White,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.84637,False
50,25-34,F,Masters degree,UK,Mixed-White/Black,0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.2247,True
51,35-44,M,Masters degree,UK,White,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.84637,False
52,45-54,M,Professional certificate/ diploma,Canada,White,1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,True
53,55-64,F,University degree,UK,White,-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858,True
54,45-54,M,Masters degree,UK,White,-1.43907,-0.15487,1.06238,0.28783,0.25953,-0.21712,-0.21575,True
55,55-64,M,Left school at 16 years,UK,White,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,True
56,55-64,F,Professional certificate/ diploma,UK,White,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,True
57,35-44,F,"Some college or university, no certificate or degree",UK,White,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,True
58,25-34,F,University degree,UK,White,-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,True
59,45-54,M,Left school at 18 years,UK,White,0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.2247,False
60,45-54,M,University degree,UK,White,-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,-1.37983,-1.54858,True
61,25-34,F,Doctorate degree,UK,White,1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987,True
62,45-54,M,Masters degree,UK,Asian,-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,True
63,25-34,M,University degree,UK,White,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,True
64,45-54,M,University degree,UK,White,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,True
65,45-54,M,Doctorate degree,UK,White,-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,False
66,35-44,M,"Some college or university, no certificate or degree",UK,White,0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,True
67,45-54,M,Left school at 16 years,UK,White,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,True
68,25-34,M,Masters degree,UK,White,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,0.88113,-0.21575,True
69,35-44,M,Professional certificate/ diploma,Other,White,-0.92104,0.00332,0.29338,-0.15487,-0.27607,-0.21712,0.07987,True
70,45-54,F,Left school at 16 years,UK,White,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637,True
71,25-34,M,"Some college or university, no certificate or degree",UK,White,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,0.52975,0.7654,True
72,45-54,F,Left school at 18 years,Canada,White,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,True
73,45-54,M,Left school at 18 years,UK,White,-1.55078,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,True
74,45-54,M,Professional certificate/ diploma,UK,White,-0.67825,-0.57545,-0.31776,0.28783,1.13407,-0.71126,-0.21575,True
75,65+,F,Left school at 16 years,UK,White,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848,True
76,25-34,M,University degree,UK,White,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,0.52975,-0.21575,True
77,45-54,F,Left school at 17 years,Canada,White,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,True
78,35-44,M,University degree,UK,White,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,True
79,35-44,M,"Some college or university, no certificate or degree",UK,White,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,True
80,35-44,M,Professional certificate/ diploma,UK,White,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,True
81,65+,F,Doctorate degree,Canada,White,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,True
82,55-64,F,University degree,UK,White,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,True
83,55-64,M,Masters degree,Canada,White,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,True
84,55-64,F,Left school at 17 years,UK,Mixed-White/Black,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,True
85,45-54,M,Left school at 16 years,UK,White,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987,True
86,25-34,F,Left school at 18 years,UK,White,-0.46725,0.00332,-1.55521,0.13136,0.41594,0.52975,1.2247,True
87,35-44,M,"Some college or university, no certificate or degree",UK,White,0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,True
88,55-64,M,Left school at 16 years,UK,White,-0.92104,0.16767,-0.45174,-0.30172,0.25953,-0.71126,0.40148,True
89,35-44,F,"Some college or university, no certificate or degree",UK,White,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,-1.37983,-2.07848,True
90,35-44,F,Masters degree,UK,White,0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575,True
91,35-44,F,Masters degree,UK,White,1.37297,0.32197,0.7233,0.28783,-0.78155,-1.37983,0.07987,False
92,35-44,M,Professional certificate/ diploma,Canada,White,0.41667,-0.43999,0.7233,0.28783,0.7583,0.88113,0.7654,True
93,25-34,M,Left school at 18 years,UK,White,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,True
94,65+,F,Left school at 16 years,UK,White,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,True
95,45-54,M,Masters degree,UK,White,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,True
96,45-54,M,Masters degree,UK,White,-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,True
97,35-44,F,University degree,Canada,White,0.13606,-1.09207,0.29338,-0.15487,0.7583,-1.37983,-1.54858,True
