MODEL,MAKE,MODEL.1,VEHICLE CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL_CONSUMPTION*,CO2_EMISSIONS
2001,ACURA,1.7EL,COMPACT,1.7,4,A4,X,9.3,191
2001,ACURA,1.7EL,COMPACT,1.7,4,M5,X,8.9,191
2001,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,13.7,265
2001,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.8,267
2001,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,15.0,301
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,11.4,232
2001,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,10.6,221
2001,ACURA,INTEGRA GS-R,SUBCOMPACT,1.8,4,M5,Z,10.8,223
2001,ACURA,MDX,SUV,3.5,6,A5,Z,15.5,311
2001,ACURA,NSX,TWO-SEATER,3.0,6,AS4,Z,15.3,306
2001,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,15.6,308
2001,AUDI,A4,COMPACT,1.8,4,A5,Z,13.2,260
2001,AUDI,A4,COMPACT,1.8,4,M5,Z,11.8,232
2001,AUDI,A4,COMPACT,2.8,6,A5,Z,14.6,285
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,13.3,265
2001,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.2,244
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,14.9,292
2001,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,14.3,288
2001,AUDI,A6,MID-SIZE,2.8,6,A5,Z,15.0,294
2001,AUDI,A6 AVANT QUATTRO WAGON,STATION WAGON - MID-SIZE,2.8,6,A5,Z,15.4,306
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,15.2,301
2001,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,15.2,304
2001,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,15.4,306
2001,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.4,301
2001,AUDI,A8 L,FULL-SIZE,4.2,8,A5,Z,15.4,301
2001,AUDI,A8 QUATTRO,FULL-SIZE,4.2,8,A5,Z,15.4,301
