date,France_GDP,Germany_GDP,Italy_GDP,Netherlands_GDP,Portugal_GDP,Spain_GDP,United_Kingdom_GDP
2000-01-01,362.551,524.635,304.165,109.902,31.471,157.4,270.399
2000-04-01,367.868,527.769,309.196,111.926,31.67,160.232,273.712
2000-07-01,372.492,529.088,311.721,114.094,32.442,163.227,276.504
2000-10-01,377.348,527.676,318.196,116.259,32.831,166.992,277.885
2001-01-01,380.839,541.631,322.663,119.032,33.103,170.735,280.311
2001-04-01,383.668,541.415,324.748,119.96,33.718,173.291,285.988
2001-07-01,386.333,544.039,326.864,120.881,34.041,176.927,286.439
2001-10-01,388.31,548.263,329.435,122.139,34.914,180.04,289.285
2002-01-01,393.061,546.381,332.976,123.571,35.332,182.753,291.89
2002-04-01,395.898,546.734,336.066,124.874,35.559,186.17,294.981
2002-07-01,398.655,554.344,339.564,126.183,35.776,188.931,299.307
2002-10-01,401.71,554.264,341.159,126.601,35.887,191.698,304.158
2003-01-01,403.524,549.136,343.918,127.465,36.04,195.38,308.001
2003-04-01,404.922,550.185,347.018,127.564,36.326,199.288,311.672
2003-07-01,409.793,557.133,351.714,128.404,36.611,202.014,317.796
2003-10-01,414.348,558.543,352.722,129.624,37.091,205.584,322.501
2004-01-01,419.973,560.087,356.975,130.432,37.367,209.19,323.214
2004-04-01,423.612,566.128,363.12,131.886,37.985,212.367,330.333
2004-07-01,426.217,564.971,363.086,132.765,38.191,216.525,332.227
2004-10-01,431.65,564.034,366.946,133.895,38.706,221.355,337.021
2005-01-01,434.796,565.303,367.225,134.841,38.951,224.814,340.253
2005-04-01,438.803,568.678,370.98,136.588,39.566,229.433,349.019
2005-07-01,442.422,573.699,374.903,138.671,39.746,233.904,351.253
2005-10-01,448.373,577.292,381.024,140.51,40.289,239.206,359.131
2006-01-01,453.956,581.856,380.807,143.09,40.651,243.627,361.989
2006-04-01,460.674,594.354,386.546,145.173,41.368,249.021,367.764
2006-07-01,464.227,599.101,390.349,146.961,41.738,253.409,370.933
2006-10-01,471.266,610.445,396.863,149.438,42.504,257.766,376.036
2007-01-01,476.846,616.009,397.759,152.523,43.258,263.773,381.202
2007-04-01,483.172,623.27,400.523,153.298,43.601,267.333,385.685
2007-07-01,488.928,628.634,405.172,155.43,43.893,269.354,390.759
2007-10-01,493.666,634.954,411.022,158.003,44.731,275.079,394.824
2008-01-01,499.573,638.726,413.32,160.789,44.843,277.657,401.905
2008-04-01,499.948,639.049,414.458,161.442,44.898,278.983,401.222
2008-07-01,498.933,636.361,409.353,162.922,44.792,277.456,399.608
