category,class
card_arrival,card
card_linking,card
exchange_rate,others
card_payment_wrong_exchange_rate,card
extra_charge_on_statement,others
pending_cash_withdrawal,cash
fiat_currency_support,others
card_delivery_estimate,card
automatic_top_up,others
card_not_working,card
exchange_via_app,others
lost_or_stolen_card,card
age_limit,others
pin_blocked,security
contactless_not_working,others
top_up_by_bank_transfer_charge,transfer
pending_top_up,others
cancel_transfer,transfer
top_up_limits,others
wrong_amount_of_cash_received,cash
card_payment_fee_charged,card
transfer_not_received_by_recipient,transfer
supported_cards_and_currencies,card
getting_virtual_card,card
card_acceptance,card
top_up_reverted,others
balance_not_updated_after_cheque_or_cash_deposit,cash
card_payment_not_recognised,card
edit_personal_details,security
why_verify_identity,others
unable_to_verify_identity,others
get_physical_card,card
visa_or_mastercard,card
topping_up_by_card,card
disposable_card_limits,card
compromised_card,card
atm_support,others
direct_debit_payment_not_recognised,others
passcode_forgotten,security
declined_cash_withdrawal,cash
pending_card_payment,card
lost_or_stolen_phone,security
request_refund,others
declined_transfer,transfer
Refund_not_showing_up,others
declined_card_payment,card
pending_transfer,transfer
terminate_account,security
card_swallowed,card
transaction_charged_twice,others
verify_source_of_funds,others
transfer_timing,transfer
reverted_card_payment?,card
change_pin,security
beneficiary_not_allowed,others
transfer_fee_charged,transfer
receiving_money,others
failed_transfer,transfer
transfer_into_account,transfer
verify_top_up,others
getting_spare_card,card
top_up_by_cash_or_cheque,cash
order_physical_card,card
virtual_card_not_working,card
wrong_exchange_rate_for_cash_withdrawal,cash
get_disposable_virtual_card,card
top_up_failed,others
balance_not_updated_after_bank_transfer,transfer
cash_withdrawal_not_recognised,cash
exchange_charge,others
top_up_by_card_charge,card
activate_my_card,card
cash_withdrawal_charge,cash
card_about_to_expire,card
apple_pay_or_google_pay,others
verify_my_identity,others
country_support,others
